"id","question","a1","a2","a3","a4","correct","section"
11,"2sin(x)","cos<sup>2</sup>(x)","cos(x)","2x<sup>2</sup>","-2tan(x)",2,2
12,"tan(3x<sup>2</sup>)","3x<sup>2</sup>tan(3x<sup>2</sup>)","6xtan(6x)","sec<sup>2</sup>(6x)","6xsec<sup>2</sup>(3x<sup>2</sup>)",4,2
13,"6sin(8cos(x))","6cos<sup>2</sup>(x)-8cos<sup>2</sup>(x)","48sin(x)cos(8x)","-48sin(x)cos(8cos(x))","6sin(-8sin(x))",3,2
14,"5cos(2x+3)","-5sin(2x)","5cos(2x<sup>3</sup>+3x)","-10sin(2x+3)","10sin(2x)",3,2
15,"(x+1)(3x-2)","6x+1","3x<sup>2</sup>+x-2","3x-2","6x<sup>2</sup>+x",1,2
16,"(2x+1)(4x-3)","8x-3","6x<sup>2</sup>","8x<sup>2</sup>-2x-3","16x-2",4,2
17,"(4x<sup>2</sup>+5x+4)(3x<sup>2</sup>-2)","48x<sup>3</sup>-15x<sup>2</sup>+4x","7x<sup>3</sup>-15x<sup>2</sup>+8x-6","48x<sup>3</sup>+45x<sup>2</sup>+8x-10","12x<sup>4</sup>+15x<sup>3</sup>+4x<sup>2</sup>-10x-8",3,2
18,"(1+&radic;x)(x<sup>2</sup>)","<sup>1</sup>&frasl;<sub>2</sub>x<sup>2</sup>","x<sup>2</sup>+<sup>1</sup>&frasl;<sub>2</sub>x<sup>5</sup>","<sup>5</sup>&frasl;<sub>2</sub>x<sup>3/2</sup>+2x","2&radic;x",3,2
19,"-cos(x)ln(x)","-sin(x)ln(x)","sin(x)cos(x)","ln(x)sin(x)-<sup>1</sup>&frasl;<sub>x</sub>cos(x)","<sup>1</sup>&frasl;<sub>x</sub>tan(x)",3,2
20,"5csc<sup>2</sup>(x)","-10cot(x)csc<sup>2</sup>(x)","10tan(x)","-5sec<sup>2</sup>(x)","tan(x)sec<sup>2</sup>(x)",1,2
21,"<sup>3sin(x)</sup>&frasl;<sub>x<sup>2</sup></sub>","(3xcos(x)-6sin(x))/x<sup>3</sup>","6xsin(x)","3cos(x)+2x","(-6tan(x)+3cot(x))/x<sup>2</sup>",1,3
22,"<sup>cos(x)</sup>&frasl;<sub>tan(x<sup>2</sup>)</sub>","4xcos(x)csc<sup>2</sup>(x<sup>2</sup>)-cos(x)cot(x<sup>2</sup>)","2xcos(x)csc<sup>2</sup>(x<sup>2</sup>)-sin(x)cot(x<sup>2</sup>)","4xcos(x)sec<sup>2</sup>(x<sup>2</sup>)-sin(x)sin(x<sup>2</sup>)","2xcos(x)sec<sup>2</sup>(x<sup>2</sup>)-cos(x)sin(x<sup>3</sup>)",2,3
23,"3x<sup>2</sup>sec<sup>2</sup>(x)","3x(xcot(x)+1)sec<sup>2</sup>(x)","6x(xcot(x)+1)csc<sup>2</sup>(x)","6x(xtan(x)+1)sec<sup>2</sup>(x)","3x(xtan(x)+1)csc<sup>2</sup>(x)",3,3
24,"sin(x)cos(x)","cos<sup>2</sup>(x)-sin<sup>2</sup>(x)","tan<sup>2</sup>x","sin(2x)","sin<sup>2</sup>(x)-cos<sup>2</sup>(x)",1,3
25,"sec<sup>3</sup>(x<sup>2</sup>)","12xtan(x<sup>2</sup>)csc<sup>3</sup>(x<sup>2</sup>)","6xsec(x<sup>2</sup>)sec<sup>3</sup>(x<sup>3</sup>)","6xtan(x<sup>2</sup>)sec<sup>3</sup>(x<sup>2</sup>)","12xsec(x)csc<sup>3</sup>(x<sup>2</sup>)",2,3
26,"cos(6x<sup>3</sup>+4x<sup>2</sup>-4x+2)","-(18x<sup>2</sup>+8x-4)sin(6x<sup>3</sup>+4x<sup>2</sup>-4x+2)","(18x<sup>2</sup>+8x-4)sin(12x<sup>3</sup>+2x<sup>2</sup>+x+2)","(18x<sup>2</sup>+8x-4)cos(6x<sup>3</sup>+4x<sup>2</sup>-4x+2)","-(9x<sup>2</sup>+16x-8)sin(6x<sup>3</sup>+4x<sup>2</sup>-4x+2)",1,3
27,"<sup>x+1</sup>&frasl;<sub>x<sup>3</sup></sub>","(2x+1)/x<sup>4</sup>","x<sup>-2</sup>","(x+1)/x<sup>2</sup>","(3x+4)/x<sup>4</sup>",1,3
28,"3(ln(x))<sup>2</sup>","<sup>6</sup>&frasl;<sub>x</sub>","6ln(x)","6x<sup>2</sup>","<sup>6</sup>&frasl;<sub>x</sub>ln(x)",4,3
29,"e<sup>x</sup>sin(x)","e<sup>x</sup>(sin(x)-cos(x))","e<sup>x</sup>(sin(x)+cos(x))","e<sup>x</sup>(sin(x)cos(x))","e<sup>x</sup>(cos(x))",2,3
30,"x<sup>2</sup>ln(x)","2xln(x)","x<sup>2ln</sup>(x)","x+2xln(x)","x<sup>2</sup>+ln(x)",3,3
